method,alpha,coverage,dgp,statistic,n,B,repetitions
basic,0.95,0.9177,DGPNorm_0_1,mean,8,100,10000
bca,0.95,0.9145,DGPNorm_0_1,mean,8,100,10000
bc,0.95,0.9146,DGPNorm_0_1,mean,8,100,10000
standard,0.95,0.9177,DGPNorm_0_1,mean,8,100,10000
smoothed,0.95,0.922,DGPNorm_0_1,mean,8,100,10000
double,0.95,0.9466,DGPNorm_0_1,mean,8,100,10000
studentized,0.95,0.9472,DGPNorm_0_1,mean,8,100,10000
wilcoxon,0.95,0.9637,DGPNorm_0_1,mean,8,100,10000
ttest,0.95,0.9438,DGPNorm_0_1,mean,8,100,10000
percentile,0.975,0.946,DGPNorm_0_1,mean,8,100,10000
basic,0.975,0.9439,DGPNorm_0_1,mean,8,100,10000
bca,0.975,0.9413,DGPNorm_0_1,mean,8,100,10000
bc,0.975,0.9427,DGPNorm_0_1,mean,8,100,10000
standard,0.975,0.9476,DGPNorm_0_1,mean,8,100,10000
smoothed,0.975,0.9486,DGPNorm_0_1,mean,8,100,10000
double,0.975,0.9616,DGPNorm_0_1,mean,8,100,10000
studentized,0.975,0.9708,DGPNorm_0_1,mean,8,100,10000
wilcoxon,0.975,0.9811,DGPNorm_0_1,mean,8,100,10000
ttest,0.975,0.9696,DGPNorm_0_1,mean,8,100,10000
percentile,0.025,0.0395,DGPNorm_0_1,mean,16,100,10000
basic,0.025,0.0379,DGPNorm_0_1,mean,16,100,10000
bca,0.025,0.0418,DGPNorm_0_1,mean,16,100,10000
bc,0.025,0.0409,DGPNorm_0_1,mean,16,100,10000
standard,0.025,0.0382,DGPNorm_0_1,mean,16,100,10000
smoothed,0.025,0.0385,DGPNorm_0_1,mean,16,100,10000
double,0.025,0.0287,DGPNorm_0_1,mean,16,100,10000
studentized,0.025,0.0272,DGPNorm_0_1,mean,16,100,10000
wilcoxon,0.025,0.0252,DGPNorm_0_1,mean,16,100,10000
ttest,0.025,0.0272,DGPNorm_0_1,mean,16,100,10000
percentile,0.05,0.067,DGPNorm_0_1,mean,16,100,10000
basic,0.05,0.0667,DGPNorm_0_1,mean,16,100,10000
bca,0.05,0.0703,DGPNorm_0_1,mean,16,100,10000
bc,0.05,0.0705,DGPNorm_0_1,mean,16,100,10000
standard,0.05,0.0676,DGPNorm_0_1,mean,16,100,10000
smoothed,0.05,0.0665,DGPNorm_0_1,mean,16,100,10000
double,0.05,0.0489,DGPNorm_0_1,mean,16,100,10000
studentized,0.05,0.0512,DGPNorm_0_1,mean,16,100,10000
wilcoxon,0.05,0.0484,DGPNorm_0_1,mean,16,100,10000
ttest,0.05,0.0522,DGPNorm_0_1,mean,16,100,10000
percentile,0.25,0.2678,DGPNorm_0_1,mean,16,100,10000
basic,0.25,0.2672,DGPNorm_0_1,mean,16,100,10000
bca,0.25,0.2651,DGPNorm_0_1,mean,16,100,10000
bc,0.25,0.2656,DGPNorm_0_1,mean,16,100,10000
standard,0.25,0.2681,DGPNorm_0_1,mean,16,100,10000
smoothed,0.25,0.2669,DGPNorm_0_1,mean,16,100,10000
double,0.25,0.2562,DGPNorm_0_1,mean,16,100,10000
studentized,0.25,0.256,DGPNorm_0_1,mean,16,100,10000
wilcoxon,0.25,0.268,DGPNorm_0_1,mean,16,100,10000
ttest,0.25,0.262,DGPNorm_0_1,mean,16,100,10000
percentile,0.75,0.7395,DGPNorm_0_1,mean,16,100,10000
basic,0.75,0.7404,DGPNorm_0_1,mean,16,100,10000
bca,0.75,0.7421,DGPNorm_0_1,mean,16,100,10000
bc,0.75,0.7427,DGPNorm_0_1,mean,16,100,10000
standard,0.75,0.738,DGPNorm_0_1,mean,16,100,10000
smoothed,0.75,0.7413,DGPNorm_0_1,mean,16,100,10000
double,0.75,0.7525,DGPNorm_0_1,mean,16,100,10000
studentized,0.75,0.7508,DGPNorm_0_1,mean,16,100,10000
wilcoxon,0.75,0.7532,DGPNorm_0_1,mean,16,100,10000
ttest,0.75,0.7469,DGPNorm_0_1,mean,16,100,10000
percentile,0.95,0.9354,DGPNorm_0_1,mean,16,100,10000
basic,0.95,0.9339,DGPNorm_0_1,mean,16,100,10000
bca,0.95,0.9302,DGPNorm_0_1,mean,16,100,10000
bc,0.95,0.9311,DGPNorm_0_1,mean,16,100,10000
standard,0.95,0.9327,DGPNorm_0_1,mean,16,100,10000
smoothed,0.95,0.9376,DGPNorm_0_1,mean,16,100,10000
double,0.95,0.9492,DGPNorm_0_1,mean,16,100,10000
studentized,0.95,0.9466,DGPNorm_0_1,mean,16,100,10000
wilcoxon,0.95,0.9533,DGPNorm_0_1,mean,16,100,10000
ttest,0.95,0.9456,DGPNorm_0_1,mean,16,100,10000
percentile,0.975,0.9612,DGPNorm_0_1,mean,16,100,10000
basic,0.975,0.9595,DGPNorm_0_1,mean,16,100,10000
bca,0.975,0.9572,DGPNorm_0_1,mean,16,100,10000
bc,0.975,0.9583,DGPNorm_0_1,mean,16,100,10000
standard,0.975,0.9612,DGPNorm_0_1,mean,16,100,10000
smoothed,0.975,0.9615,DGPNorm_0_1,mean,16,100,10000
double,0.975,0.971,DGPNorm_0_1,mean,16,100,10000
studentized,0.975,0.9722,DGPNorm_0_1,mean,16,100,10000
wilcoxon,0.975,0.9786,DGPNorm_0_1,mean,16,100,10000
ttest,0.975,0.9728,DGPNorm_0_1,mean,16,100,10000
percentile,0.025,0.0346,DGPNorm_0_1,mean,32,100,10000
basic,0.025,0.0344,DGPNorm_0_1,mean,32,100,10000
bca,0.025,0.0377,DGPNorm_0_1,mean,32,100,10000
bc,0.025,0.0371,DGPNorm_0_1,mean,32,100,10000
standard,0.025,0.0341,DGPNorm_0_1,mean,32,100,10000
smoothed,0.025,0.0343,DGPNorm_0_1,mean,32,100,10000
double,0.025,0.0292,DGPNorm_0_1,mean,32,100,10000
studentized,0.025,0.0282,DGPNorm_0_1,mean,32,100,10000
wilcoxon,0.025,0.026,DGPNorm_0_1,mean,32,100,10000
ttest,0.025,0.0295,DGPNorm_0_1,mean,32,100,10000
percentile,0.05,0.0625,DGPNorm_0_1,mean,32,100,10000
basic,0.05,0.0621,DGPNorm_0_1,mean,32,100,10000
bca,0.05,0.0631,DGPNorm_0_1,mean,32,100,10000
bc,0.05,0.0629,DGPNorm_0_1,mean,32,100,10000
standard,0.05,0.0628,DGPNorm_0_1,mean,32,100,10000
smoothed,0.05,0.0627,DGPNorm_0_1,mean,32,100,10000
double,0.05,0.053,DGPNorm_0_1,mean,32,100,10000
studentized,0.05,0.0538,DGPNorm_0_1,mean,32,100,10000
wilcoxon,0.05,0.0523,DGPNorm_0_1,mean,32,100,10000
ttest,0.05,0.0544,DGPNorm_0_1,mean,32,100,10000
percentile,0.25,0.2649,DGPNorm_0_1,mean,32,100,10000
basic,0.25,0.2604,DGPNorm_0_1,mean,32,100,10000
bca,0.25,0.2629,DGPNorm_0_1,mean,32,100,10000
bc,0.25,0.2628,DGPNorm_0_1,mean,32,100,10000
standard,0.25,0.2636,DGPNorm_0_1,mean,32,100,10000
smoothed,0.25,0.2638,DGPNorm_0_1,mean,32,100,10000
double,0.25,0.2574,DGPNorm_0_1,mean,32,100,10000
studentized,0.25,0.2539,DGPNorm_0_1,mean,32,100,10000
wilcoxon,0.25,0.257,DGPNorm_0_1,mean,32,100,10000
ttest,0.25,0.2609,DGPNorm_0_1,mean,32,100,10000
percentile,0.75,0.7492,DGPNorm_0_1,mean,32,100,10000
basic,0.75,0.7482,DGPNorm_0_1,mean,32,100,10000
bca,0.75,0.7485,DGPNorm_0_1,mean,32,100,10000
bc,0.75,0.748,DGPNorm_0_1,mean,32,100,10000
standard,0.75,0.7481,DGPNorm_0_1,mean,32,100,10000
smoothed,0.75,0.7499,DGPNorm_0_1,mean,32,100,10000
double,0.75,0.7542,DGPNorm_0_1,mean,32,100,10000
studentized,0.75,0.7541,DGPNorm_0_1,mean,32,100,10000
wilcoxon,0.75,0.7646,DGPNorm_0_1,mean,32,100,10000
ttest,0.75,0.7538,DGPNorm_0_1,mean,32,100,10000
percentile,0.95,0.9415,DGPNorm_0_1,mean,32,100,10000
basic,0.95,0.9429,DGPNorm_0_1,mean,32,100,10000
bca,0.95,0.939,DGPNorm_0_1,mean,32,100,10000
bc,0.95,0.9378,DGPNorm_0_1,mean,32,100,10000
standard,0.95,0.9428,DGPNorm_0_1,mean,32,100,10000
smoothed,0.95,0.9414,DGPNorm_0_1,mean,32,100,10000
double,0.95,0.9492,DGPNorm_0_1,mean,32,100,10000
studentized,0.95,0.9485,DGPNorm_0_1,mean,32,100,10000
wilcoxon,0.95,0.9538,DGPNorm_0_1,mean,32,100,10000
ttest,0.95,0.9491,DGPNorm_0_1,mean,32,100,10000
percentile,0.975,0.9669,DGPNorm_0_1,mean,32,100,10000
basic,0.975,0.9681,DGPNorm_0_1,mean,32,100,10000
bca,0.975,0.9652,DGPNorm_0_1,mean,32,100,10000
bc,0.975,0.9654,DGPNorm_0_1,mean,32,100,10000
standard,0.975,0.9689,DGPNorm_0_1,mean,32,100,10000
smoothed,0.975,0.9676,DGPNorm_0_1,mean,32,100,10000
double,0.975,0.9737,DGPNorm_0_1,mean,32,100,10000
studentized,0.975,0.9713,DGPNorm_0_1,mean,32,100,10000
wilcoxon,0.975,0.9764,DGPNorm_0_1,mean,32,100,10000
ttest,0.975,0.9757,DGPNorm_0_1,mean,32,100,10000
percentile,0.025,0.0706,DGPNorm_0_1,median,4,100,10000
basic,0.025,0.122,DGPNorm_0_1,median,4,100,10000
bca,0.025,0.0662,DGPNorm_0_1,median,4,100,10000
bc,0.025,0.0662,DGPNorm_0_1,median,4,100,10000
standard,0.025,0.0626,DGPNorm_0_1,median,4,100,10000
smoothed,0.025,0.0645,DGPNorm_0_1,median,4,100,10000
double,0.025,0.0659,DGPNorm_0_1,median,4,100,10000
studentized,0.025,0.02,DGPNorm_0_1,median,4,100,10000
wilcoxon,0.025,0.0655,DGPNorm_0_1,median,4,100,10000
ci_quant_param,0.025,0.051,DGPNorm_0_1,median,4,100,10000
ci_quant_nonparam,0.025,0.0655,DGPNorm_0_1,median,4,100,10000
maritz-jarrett,0.025,0.0339,DGPNorm_0_1,median,4,100,10000
percentile,0.05,0.0926,DGPNorm_0_1,median,4,100,10000
basic,0.05,0.1451,DGPNorm_0_1,median,4,100,10000
bca,0.05,0.0678,DGPNorm_0_1,median,4,100,10000
bc,0.05,0.0678,DGPNorm_0_1,median,4,100,10000
standard,0.05,0.0883,DGPNorm_0_1,median,4,100,10000
smoothed,0.05,0.0857,DGPNorm_0_1,median,4,100,10000
double,0.05,0.0676,DGPNorm_0_1,median,4,100,10000
studentized,0.05,0.0514,DGPNorm_0_1,median,4,100,10000
wilcoxon,0.05,0.0655,DGPNorm_0_1,median,4,100,10000
ci_quant_param,0.05,0.0861,DGPNorm_0_1,median,4,100,10000
ci_quant_nonparam,0.05,0.0655,DGPNorm_0_1,median,4,100,10000
maritz-jarrett,0.05,0.05,DGPNorm_0_1,median,4,100,10000
percentile,0.25,0.2501,DGPNorm_0_1,median,4,100,10000
basic,0.25,0.2759,DGPNorm_0_1,median,4,100,10000
bca,0.25,0.1317,DGPNorm_0_1,median,4,100,10000
bc,0.25,0.1317,DGPNorm_0_1,median,4,100,10000
standard,0.25,0.2584,DGPNorm_0_1,median,4,100,10000
smoothed,0.25,0.2537,DGPNorm_0_1,median,4,100,10000
double,0.25,0.2301,DGPNorm_0_1,median,4,100,10000
studentized,0.25,0.2474,DGPNorm_0_1,median,4,100,10000
wilcoxon,0.25,0.3098,DGPNorm_0_1,median,4,100,10000
ci_quant_param,0.25,0.2915,DGPNorm_0_1,median,4,100,10000
ci_quant_nonparam,0.25,0.3048,DGPNorm_0_1,median,4,100,10000
maritz-jarrett,0.25,0.2038,DGPNorm_0_1,median,4,100,10000
percentile,0.75,0.7422,DGPNorm_0_1,median,4,100,10000
basic,0.75,0.7104,DGPNorm_0_1,median,4,100,10000
bca,0.75,0.5281,DGPNorm_0_1,median,4,100,10000
bc,0.75,0.5281,DGPNorm_0_1,median,4,100,10000
standard,0.75,0.7278,DGPNorm_0_1,median,4,100,10000
smoothed,0.75,0.7395,DGPNorm_0_1,median,4,100,10000
double,0.75,0.7204,DGPNorm_0_1,median,4,100,10000
studentized,0.75,0.7404,DGPNorm_0_1,median,4,100,10000
wilcoxon,0.75,0.8081,DGPNorm_0_1,median,4,100,10000
ci_quant_param,0.75,0.6944,DGPNorm_0_1,median,4,100,10000
ci_quant_nonparam,0.75,0.9337,DGPNorm_0_1,median,4,100,10000
maritz-jarrett,0.75,0.7603,DGPNorm_0_1,median,4,100,10000
percentile,0.95,0.9036,DGPNorm_0_1,median,4,100,10000
basic,0.95,0.8482,DGPNorm_0_1,median,4,100,10000
bca,0.95,0.8436,DGPNorm_0_1,median,4,100,10000
bc,0.95,0.8436,DGPNorm_0_1,median,4,100,10000
standard,0.95,0.9103,DGPNorm_0_1,median,4,100,10000
smoothed,0.95,0.9127,DGPNorm_0_1,median,4,100,10000
double,0.95,0.9215,DGPNorm_0_1,median,4,100,10000
studentized,0.95,0.9432,DGPNorm_0_1,median,4,100,10000
wilcoxon,0.95,0.9337,DGPNorm_0_1,median,4,100,10000
ci_quant_param,0.95,0.9093,DGPNorm_0_1,median,4,100,10000
ci_quant_nonparam,0.95,0.0,DGPNorm_0_1,median,4,100,10000
maritz-jarrett,0.95,0.9289,DGPNorm_0_1,median,4,100,10000
percentile,0.975,0.9268,DGPNorm_0_1,median,4,100,10000
basic,0.975,0.87,DGPNorm_0_1,median,4,100,10000
bca,0.975,0.8789,DGPNorm_0_1,median,4,100,10000
bc,0.975,0.8789,DGPNorm_0_1,median,4,100,10000
standard,0.975,0.9363,DGPNorm_0_1,median,4,100,10000
smoothed,0.975,0.9342,DGPNorm_0_1,median,4,100,10000
double,0.975,0.9315,DGPNorm_0_1,median,4,100,10000
studentized,0.975,0.9778,DGPNorm_0_1,median,4,100,10000
wilcoxon,0.975,0.9337,DGPNorm_0_1,median,4,100,10000
ci_quant_param,0.975,0.9471,DGPNorm_0_1,median,4,100,10000
ci_quant_nonparam,0.975,0.0,DGPNorm_0_1,median,4,100,10000
maritz-jarrett,0.975,0.9504,DGPNorm_0_1,median,4,100,10000
percentile,0.025,0.1034,DGPNorm_0_1,median,8,10,10000
basic,0.025,0.1562,DGPNorm_0_1,median,8,10,10000
bca,0.025,0.1089,DGPNorm_0_1,median,8,10,10000
bc,0.025,0.1089,DGPNorm_0_1,median,8,10,10000
standard,0.025,0.0727,DGPNorm_0_1,median,8,10,10000
smoothed,0.025,0.0997,DGPNorm_0_1,median,8,10,10000
double,0.025,0.1209,DGPNorm_0_1,median,8,10,10000
studentized,0.025,0.1123,DGPNorm_0_1,median,8,10,10000
wilcoxon,0.025,0.0283,DGPNorm_0_1,median,8,10,10000
ci_quant_param,0.025,0.0529,DGPNorm_0_1,median,8,10,10000
ci_quant_nonparam,0.025,0.0355,DGPNorm_0_1,median,8,10,10000
maritz-jarrett,0.025,0.0121,DGPNorm_0_1,median,8,10,10000
percentile,0.05,0.1034,DGPNorm_0_1,median,8,10,10000
basic,0.05,0.1562,DGPNorm_0_1,median,8,10,10000
bca,0.05,0.1157,DGPNorm_0_1,median,8,10,10000
bc,0.05,0.1157,DGPNorm_0_1,median,8,10,10000
standard,0.05,0.0968,DGPNorm_0_1,median,8,10,10000
smoothed,0.05,0.0997,DGPNorm_0_1,median,8,10,10000
double,0.05,0.1209,DGPNorm_0_1,median,8,10,10000
studentized,0.05,0.1123,DGPNorm_0_1,median,8,10,10000
wilcoxon,0.05,0.0556,DGPNorm_0_1,median,8,10,10000
ci_quant_param,0.05,0.0916,DGPNorm_0_1,median,8,10,10000
ci_quant_nonparam,0.05,0.1457,DGPNorm_0_1,median,8,10,10000
maritz-jarrett,0.05,0.0247,DGPNorm_0_1,median,8,10,10000
percentile,0.25,0.2731,DGPNorm_0_1,median,8,10,10000
basic,0.25,0.2995,DGPNorm_0_1,median,8,10,10000
bca,0.25,0.2045,DGPNorm_0_1,median,8,10,10000
bc,0.25,0.2045,DGPNorm_0_1,median,8,10,10000
standard,0.25,0.2704,DGPNorm_0_1,median,8,10,10000
smoothed,0.25,0.2784,DGPNorm_0_1,median,8,10,10000
double,0.25,0.2369,DGPNorm_0_1,median,8,10,10000
studentized,0.25,0.2859,DGPNorm_0_1,median,8,10,10000
wilcoxon,0.25,0.2782,DGPNorm_0_1,median,8,10,10000
ci_quant_param,0.25,0.2961,DGPNorm_0_1,median,8,10,10000
ci_quant_nonparam,0.25,0.3665,DGPNorm_0_1,median,8,10,10000
maritz-jarrett,0.25,0.1914,DGPNorm_0_1,median,8,10,10000
percentile,0.75,0.7388,DGPNorm_0_1,median,8,10,10000
basic,0.75,0.7055,DGPNorm_0_1,median,8,10,10000
bca,0.75,0.6285,DGPNorm_0_1,median,8,10,10000
bc,0.75,0.6285,DGPNorm_0_1,median,8,10,10000
standard,0.75,0.7298,DGPNorm_0_1,median,8,10,10000
smoothed,0.75,0.7292,DGPNorm_0_1,median,8,10,10000
double,0.75,0.7148,DGPNorm_0_1,median,8,10,10000
studentized,0.75,0.7167,DGPNorm_0_1,median,8,10,10000
wilcoxon,0.75,0.7697,DGPNorm_0_1,median,8,10,10000
ci_quant_param,0.75,0.7073,DGPNorm_0_1,median,8,10,10000
ci_quant_nonparam,0.75,0.857,DGPNorm_0_1,median,8,10,10000
maritz-jarrett,0.75,0.7882,DGPNorm_0_1,median,8,10,10000
percentile,0.95,0.8999,DGPNorm_0_1,median,8,10,10000
basic,0.95,0.8478,DGPNorm_0_1,median,8,10,10000
bca,0.95,0.8236,DGPNorm_0_1,median,8,10,10000
bc,0.95,0.8236,DGPNorm_0_1,median,8,10,10000
standard,0.95,0.9065,DGPNorm_0_1,median,8,10,10000
smoothed,0.95,0.9,DGPNorm_0_1,median,8,10,10000
double,0.95,0.8657,DGPNorm_0_1,median,8,10,10000
studentized,0.95,0.8847,DGPNorm_0_1,median,8,10,10000
wilcoxon,0.95,0.9605,DGPNorm_0_1,median,8,10,10000
ci_quant_param,0.95,0.909,DGPNorm_0_1,median,8,10,10000
ci_quant_nonparam,0.95,0.9644,DGPNorm_0_1,median,8,10,10000
maritz-jarrett,0.95,0.9569,DGPNorm_0_1,median,8,10,10000
percentile,0.975,0.8999,DGPNorm_0_1,median,8,10,10000
basic,0.975,0.8478,DGPNorm_0_1,median,8,10,10000
bca,0.975,0.8517,DGPNorm_0_1,median,8,10,10000
bc,0.975,0.8517,DGPNorm_0_1,median,8,10,10000
standard,0.975,0.9337,DGPNorm_0_1,median,8,10,10000
smoothed,0.975,0.9,DGPNorm_0_1,median,8,10,10000
double,0.975,0.8657,DGPNorm_0_1,median,8,10,10000
studentized,0.975,0.8847,DGPNorm_0_1,median,8,10,10000
wilcoxon,0.975,0.9803,DGPNorm_0_1,median,8,10,10000
ci_quant_param,0.975,0.9445,DGPNorm_0_1,median,8,10,10000
ci_quant_nonparam,0.975,0.9966,DGPNorm_0_1,median,8,10,10000
maritz-jarrett,0.975,0.9741,DGPNorm_0_1,median,8,10,10000
percentile,0.025,0.0988,DGPNorm_0_1,median,16,10,10000
basic,0.025,0.1454,DGPNorm_0_1,median,16,10,10000
bca,0.025,0.1096,DGPNorm_0_1,median,16,10,10000
bc,0.025,0.1096,DGPNorm_0_1,median,16,10,10000
standard,0.025,0.0629,DGPNorm_0_1,median,16,10,10000
smoothed,0.025,0.0976,DGPNorm_0_1,median,16,10,10000
double,0.025,0.1199,DGPNorm_0_1,median,16,10,10000
studentized,0.025,0.1165,DGPNorm_0_1,median,16,10,10000
wilcoxon,0.025,0.0242,DGPNorm_0_1,median,16,10,10000
ci_quant_param,0.025,0.0561,DGPNorm_0_1,median,16,10,10000
ci_quant_nonparam,0.025,0.0376,DGPNorm_0_1,median,16,10,10000
maritz-jarrett,0.025,0.0196,DGPNorm_0_1,median,16,10,10000
percentile,0.05,0.0988,DGPNorm_0_1,median,16,10,10000
basic,0.05,0.1454,DGPNorm_0_1,median,16,10,10000
bca,0.05,0.121,DGPNorm_0_1,median,16,10,10000
bc,0.05,0.121,DGPNorm_0_1,median,16,10,10000
standard,0.05,0.0859,DGPNorm_0_1,median,16,10,10000
smoothed,0.05,0.0976,DGPNorm_0_1,median,16,10,10000
double,0.05,0.1199,DGPNorm_0_1,median,16,10,10000
studentized,0.05,0.1165,DGPNorm_0_1,median,16,10,10000
wilcoxon,0.05,0.0529,DGPNorm_0_1,median,16,10,10000
ci_quant_param,0.05,0.091,DGPNorm_0_1,median,16,10,10000
ci_quant_nonparam,0.05,0.1075,DGPNorm_0_1,median,16,10,10000
maritz-jarrett,0.05,0.0354,DGPNorm_0_1,median,16,10,10000
percentile,0.25,0.2669,DGPNorm_0_1,median,16,10,10000
basic,0.25,0.2949,DGPNorm_0_1,median,16,10,10000
bca,0.25,0.2299,DGPNorm_0_1,median,16,10,10000
bc,0.25,0.2299,DGPNorm_0_1,median,16,10,10000
standard,0.25,0.2682,DGPNorm_0_1,median,16,10,10000
smoothed,0.25,0.277,DGPNorm_0_1,median,16,10,10000
double,0.25,0.238,DGPNorm_0_1,median,16,10,10000
studentized,0.25,0.2907,DGPNorm_0_1,median,16,10,10000
wilcoxon,0.25,0.2694,DGPNorm_0_1,median,16,10,10000
ci_quant_param,0.25,0.2931,DGPNorm_0_1,median,16,10,10000
ci_quant_nonparam,0.25,0.4006,DGPNorm_0_1,median,16,10,10000
maritz-jarrett,0.25,0.2178,DGPNorm_0_1,median,16,10,10000
percentile,0.75,0.7293,DGPNorm_0_1,median,16,10,10000
basic,0.75,0.7006,DGPNorm_0_1,median,16,10,10000
bca,0.75,0.6629,DGPNorm_0_1,median,16,10,10000
bc,0.75,0.6629,DGPNorm_0_1,median,16,10,10000
standard,0.75,0.7289,DGPNorm_0_1,median,16,10,10000
smoothed,0.75,0.7225,DGPNorm_0_1,median,16,10,10000
double,0.75,0.7206,DGPNorm_0_1,median,16,10,10000
studentized,0.75,0.7127,DGPNorm_0_1,median,16,10,10000
wilcoxon,0.75,0.7492,DGPNorm_0_1,median,16,10,10000
ci_quant_param,0.75,0.7045,DGPNorm_0_1,median,16,10,10000
ci_quant_nonparam,0.75,0.7709,DGPNorm_0_1,median,16,10,10000
maritz-jarrett,0.75,0.7687,DGPNorm_0_1,median,16,10,10000
percentile,0.95,0.9068,DGPNorm_0_1,median,16,10,10000
basic,0.95,0.8509,DGPNorm_0_1,median,16,10,10000
bca,0.95,0.8419,DGPNorm_0_1,median,16,10,10000
bc,0.95,0.8419,DGPNorm_0_1,median,16,10,10000
standard,0.95,0.9079,DGPNorm_0_1,median,16,10,10000
smoothed,0.95,0.9054,DGPNorm_0_1,median,16,10,10000
double,0.95,0.8749,DGPNorm_0_1,median,16,10,10000
studentized,0.95,0.8809,DGPNorm_0_1,median,16,10,10000
wilcoxon,0.95,0.953,DGPNorm_0_1,median,16,10,10000
ci_quant_param,0.95,0.9081,DGPNorm_0_1,median,16,10,10000
ci_quant_nonparam,0.95,0.9603,DGPNorm_0_1,median,16,10,10000
maritz-jarrett,0.95,0.9493,DGPNorm_0_1,median,16,10,10000
percentile,0.975,0.9068,DGPNorm_0_1,median,16,10,10000
basic,0.975,0.8509,DGPNorm_0_1,median,16,10,10000
bca,0.975,0.8667,DGPNorm_0_1,median,16,10,10000
bc,0.975,0.8667,DGPNorm_0_1,median,16,10,10000
standard,0.975,0.9355,DGPNorm_0_1,median,16,10,10000
smoothed,0.975,0.9054,DGPNorm_0_1,median,16,10,10000
double,0.975,0.8749,DGPNorm_0_1,median,16,10,10000
studentized,0.975,0.8809,DGPNorm_0_1,median,16,10,10000
wilcoxon,0.975,0.9782,DGPNorm_0_1,median,16,10,10000
ci_quant_param,0.975,0.942,DGPNorm_0_1,median,16,10,10000
ci_quant_nonparam,0.975,0.9893,DGPNorm_0_1,median,16,10,10000
maritz-jarrett,0.975,0.9716,DGPNorm_0_1,median,16,10,10000
percentile,0.025,0.0898,DGPNorm_0_1,median,32,10,10000
basic,0.025,0.1386,DGPNorm_0_1,median,32,10,10000
bca,0.025,0.1028,DGPNorm_0_1,median,32,10,10000
bc,0.025,0.1028,DGPNorm_0_1,median,32,10,10000
standard,0.025,0.0566,DGPNorm_0_1,median,32,10,10000
smoothed,0.025,0.0891,DGPNorm_0_1,median,32,10,10000
double,0.025,0.1125,DGPNorm_0_1,median,32,10,10000
studentized,0.025,0.1202,DGPNorm_0_1,median,32,10,10000
wilcoxon,0.025,0.0239,DGPNorm_0_1,median,32,10,10000
ci_quant_param,0.025,0.0577,DGPNorm_0_1,median,32,10,10000
ci_quant_nonparam,0.025,0.0233,DGPNorm_0_1,median,32,10,10000
maritz-jarrett,0.025,0.0209,DGPNorm_0_1,median,32,10,10000
percentile,0.05,0.0898,DGPNorm_0_1,median,32,10,10000
basic,0.05,0.1386,DGPNorm_0_1,median,32,10,10000
bca,0.05,0.1163,DGPNorm_0_1,median,32,10,10000
bc,0.05,0.1163,DGPNorm_0_1,median,32,10,10000
standard,0.05,0.0828,DGPNorm_0_1,median,32,10,10000
smoothed,0.05,0.0891,DGPNorm_0_1,median,32,10,10000
double,0.05,0.1125,DGPNorm_0_1,median,32,10,10000
studentized,0.05,0.1202,DGPNorm_0_1,median,32,10,10000
wilcoxon,0.05,0.0477,DGPNorm_0_1,median,32,10,10000
ci_quant_param,0.05,0.0895,DGPNorm_0_1,median,32,10,10000
ci_quant_nonparam,0.05,0.0492,DGPNorm_0_1,median,32,10,10000
maritz-jarrett,0.05,0.0405,DGPNorm_0_1,median,32,10,10000
percentile,0.25,0.2591,DGPNorm_0_1,median,32,10,10000
basic,0.25,0.2908,DGPNorm_0_1,median,32,10,10000
bca,0.25,0.2399,DGPNorm_0_1,median,32,10,10000
bc,0.25,0.2399,DGPNorm_0_1,median,32,10,10000
standard,0.25,0.2603,DGPNorm_0_1,median,32,10,10000
smoothed,0.25,0.2612,DGPNorm_0_1,median,32,10,10000
double,0.25,0.2425,DGPNorm_0_1,median,32,10,10000
studentized,0.25,0.2824,DGPNorm_0_1,median,32,10,10000
wilcoxon,0.25,0.2436,DGPNorm_0_1,median,32,10,10000
ci_quant_param,0.25,0.2881,DGPNorm_0_1,median,32,10,10000
ci_quant_nonparam,0.25,0.2939,DGPNorm_0_1,median,32,10,10000
maritz-jarrett,0.25,0.2232,DGPNorm_0_1,median,32,10,10000
percentile,0.75,0.7301,DGPNorm_0_1,median,32,10,10000
basic,0.75,0.7061,DGPNorm_0_1,median,32,10,10000
bca,0.75,0.6792,DGPNorm_0_1,median,32,10,10000
bc,0.75,0.6792,DGPNorm_0_1,median,32,10,10000
standard,0.75,0.7314,DGPNorm_0_1,median,32,10,10000
smoothed,0.75,0.7321,DGPNorm_0_1,median,32,10,10000
double,0.75,0.7282,DGPNorm_0_1,median,32,10,10000
studentized,0.75,0.7161,DGPNorm_0_1,median,32,10,10000
wilcoxon,0.75,0.7503,DGPNorm_0_1,median,32,10,10000
ci_quant_param,0.75,0.7018,DGPNorm_0_1,median,32,10,10000
ci_quant_nonparam,0.75,0.8093,DGPNorm_0_1,median,32,10,10000
maritz-jarrett,0.75,0.7577,DGPNorm_0_1,median,32,10,10000
percentile,0.95,0.906,DGPNorm_0_1,median,32,10,10000
basic,0.95,0.8662,DGPNorm_0_1,median,32,10,10000
bca,0.95,0.8543,DGPNorm_0_1,median,32,10,10000
bc,0.95,0.8543,DGPNorm_0_1,median,32,10,10000
standard,0.95,0.9136,DGPNorm_0_1,median,32,10,10000
smoothed,0.95,0.9072,DGPNorm_0_1,median,32,10,10000
double,0.95,0.8795,DGPNorm_0_1,median,32,10,10000
studentized,0.95,0.8908,DGPNorm_0_1,median,32,10,10000
